Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code Regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ;HSD;Montants remboursés;Catégorie d'acte;Sous-catégorie d'acte
AAFA001;AAFA00140;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;4;0;ADA;520.24 €;520.24 €;78;40 960 €;40 960 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA001;AAFA00110;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1;0;ADC;647.32 €;594.89 €;87;56 779 €;56 751 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00210;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1;0;ADC;603.36 €;525.51 €;427;247 777 €;247 637 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00240;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;4;0;ADA;335.19 €;335.19 €;356;119 654 €;119 625 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00340;Exérèse de lésion du tronc cérébral, par craniotomie;4;0;ADA;498.98 €;498.98 €;7;3 293 €;3 293 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00310;Exérèse de lésion du tronc cérébral, par craniotomie;1;0;ADC;947.93 €;813.14 €;10;8 610 €;8 444 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00540;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;4;0;ADA;379.85 €;379.85 €;4;1 562 €;1 562 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00510;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1;0;ADC;676.39 €;655.65 €;6;4 502 €;4 502 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00640;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;4;0;ADA;301.47 €;301.47 €;1;153 €;153 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00610;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;1;226 €;226 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA007;AAFA00740;Excision d'une zone épileptogène, par craniotomie;4;0;ADA;360.12 €;360.12 €;1;366 €;366 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA007;AAFA00710;Excision d'une zone épileptogène, par craniotomie;1;0;ADC;601.23 €;524.28 €;3;1 348 €;1 348 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA008;AAFA00840;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;4;0;ADA;378.45 €;378.45 €;1;384 €;384 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA008;AAFA00810;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;3;610 €;610 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAGB001;AAGB00110;Ablation d'électrode intracérébrale, par voie transcutanée;1;0;ATM;131.17 €;93.63 €;1;159 €;131 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
AAJA001;AAJA00110;Évacuation de collection intracérébrale, par craniotomie;1;0;ADC;523.24 €;408.82 €;16;6 187 €;6 187 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA001;AAJA00140;Évacuation de collection intracérébrale, par craniotomie;4;0;ADA;230.76 €;230.76 €;13;2 688 €;2 688 €;Autres Actes de Chirurgie;Actes chirurgicaux
