Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code Regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ; Base de remboursement  ; Montants remboursés ;Catégorie d'acte;Sous-catégorie d'acte
AAFA001;AAFA00110;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1;0;ADC; 647.32   ; 594.89   ; 103   ; 61 572.20   ; 61 463.37   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA001;AAFA00140;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;4;0;ADA; 520.24   ; 520.24   ; 93   ; 48 044.29   ; 48 026.29   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00240;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;4;0;ADA; 335.19   ; 335.19   ; 382   ; 126 470.37   ; 126 425.22   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00210;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1;0;ADC; 603.36   ; 525.51   ; 446   ; 259 145.53   ; 258 807.94   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00340;Exérèse de lésion du tronc cérébral, par craniotomie;4;0;ADA; 498.98   ; 498.98   ; 9   ; 3 991.84   ; 3 991.84   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00310;Exérèse de lésion du tronc cérébral, par craniotomie;1;0;ADC; 947.93   ; 813.14   ; 9   ; 7 707.01   ; 7 707.01   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00540;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;4;0;ADA; 379.85   ; 379.85   ; 8   ; 3 063.95   ; 3 063.95   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00510;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1;0;ADC; 676.39   ; 655.65   ; 9   ; 6 116.32   ; 6 116.32   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00610;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1;0;ADC; 418.00   ; 418.00   ; 2   ; 890.34   ; 890.34   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00640;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;4;0;ADA; 301.47   ; 301.47   ; 2   ; 602.94   ; 602.94   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA007;AAFA00710;Excision d'une zone épileptogène, par craniotomie;1;0;ADC; 601.23   ; 524.28   ; 5   ; 2 485.93   ; 2 485.93   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA007;AAFA00740;Excision d'une zone épileptogène, par craniotomie;4;0;ADA; 360.12   ; 360.12   ; 2   ; 720.24   ; 720.24   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA008;AAFA00840;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;4;0;ADA; 378.45   ; 378.45   ; 1   ; 378.45   ; 378.45   ;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA008;AAFA00810;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;1;0;ADC; 418.00   ; 418.00   ; 3   ; 432.59   ; 432.59   ;Autres Actes de Chirurgie;Actes chirurgicaux
