Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ; Base de remboursement  ; Montants remboursés ;Catégorie d'acte;Sous-catégorie d'acte
AAFA001;AAFA00110;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1;0;ADC;647.32 €;594.89 €;86;54 791.97 €;54 773.97 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA001;AAFA00140;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;4;0;ADA;520.24 €;520.24 €;77;39 844.36 €;39 844.36 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00240;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;4;0;ADA;335.19 €;335.19 €;394;129 412.16 €;129 412.16 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA002;AAFA00210;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1;0;ADC;603.36 €;525.51 €;448;263 016.75 €;262 737.16 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00340;Exérèse de lésion du tronc cérébral, par craniotomie;4;0;ADA;498.98 €;498.98 €;7;3 515.86 €;3 515.86 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA003;AAFA00310;Exérèse de lésion du tronc cérébral, par craniotomie;1;0;ADC;947.93 €;813.14 €;7;6 311.75 €;6 311.75 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00510;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1;0;ADC;676.39 €;655.65 €;6;4 728.78 €;4 728.78 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA005;AAFA00540;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;4;0;ADA;379.85 €;379.85 €;5;1 899.25 €;1 899.25 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00640;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;4;0;ADA;301.47 €;301.47 €;1;324.47 €;324.47 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA006;AAFA00610;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;2;863.17 €;863.17 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAFA007;AAFA00740;Excision d'une zone épileptogène, par craniotomie;4;0;ADA;360.12 €;360.12 €;2;743.24 €;743.24 €;Autres Actes de Chirurgie;Actes chirurgicaux
