Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ;Base de remboursement ;Montants remboursés;Catégorie d'acte;Sous-catégorie d'acte
AAFA001;AAFA00110;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1;0;ADC;647.32 €;594.89 €;95;68 779.25 €;68 755.25 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA001;AAFA00140;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;4;0;ADA;520.24 €;520.24 €;90;46 607.48 €;46 607.48 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA002;AAFA00240;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;4;0;ADA;335.19 €;335.19 €;469;152 839.41 €;152 684.85 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA002;AAFA00210;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1;0;ADC;603.36 €;525.51 €;520;363 244.26 €;362 563.55 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA003;AAFA00310;Exérèse de lésion du tronc cérébral, par craniotomie;1;0;ADC;947.93 €;813.14 €;10;10 369.30 €;9 503.31 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA003;AAFA00340;Exérèse de lésion du tronc cérébral, par craniotomie;4;0;ADA;498.98 €;498.98 €;9;4 014.84 €;3 515.86 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA005;AAFA00510;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1;0;ADC;676.39 €;655.65 €;5;4 120.79 €;4 120.79 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA005;AAFA00540;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;4;0;ADA;379.85 €;379.85 €;5;1 922.25 €;1 922.25 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA006;AAFA00610;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;3;1 246.53 €;1 246.53 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA006;AAFA00640;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;4;0;ADA;301.47 €;301.47 €;3;994.41 €;994.41 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA007;AAFA00740;Excision d'une zone épileptogène, par craniotomie;4;0;ADA;360.12 €;360.12 €;1;360.12 €;360.12 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA007;AAFA00710;Excision d'une zone épileptogène, par craniotomie;1;0;ADC;601.23 €;524.28 €;10;4 177.56 €;4 177.56 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA008;AAFA00810;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;3;854.13 €;854.13 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA008;AAFA00840;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;4;0;ADA;378.45 €;378.45 €;2;567.68 €;567.68 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAGB001;AAGB00110;Ablation d'électrode intracérébrale;1;0;ATM;131.17 €;93.63 €;3;313.39 €;313.39 €;Actes techniques médicaux thérapeutiques;Autres Actes Médicaux Thérapeutiques
AAJA001;AAJA00110;Évacuation de collection intracérébrale, par craniotomie;1;0;ADC;523.24 €;408.82 €;15;6 872.68 €;6 872.68 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA001;AAJA00140;Évacuation de collection intracérébrale, par craniotomie;4;0;ADA;230.76 €;230.76 €;14;2 490.60 €;2 490.60 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA002;AAJA00210;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;1;0;ADC;305.58 €;282.57 €;7;2 284.95 €;2 284.95 €;Actes chirurgicaux;Autres Actes de Chirurgie
